op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0083,14.265,404,True,False,,http://localhost:8002
read,key-0020,3.442,404,True,False,,http://localhost:8005
read,key-0006,2.221,404,True,False,,http://localhost:8002
read,key-0032,2.811,404,True,False,,http://localhost:8003
read,key-0001,2.828,404,True,False,,http://localhost:8004
read,key-0083,1.888,404,True,False,,http://localhost:8003
read,key-0079,1.914,404,True,False,,http://localhost:8002
read,key-0033,1.338,404,True,False,,http://localhost:8002
read,key-0032,1.571,404,True,False,,http://localhost:8003
read,key-0052,1.535,404,True,False,,http://localhost:8003
read,key-0050,1.819,404,True,False,,http://localhost:8003
read,key-0091,1.462,404,True,False,,http://localhost:8005
read,key-0078,1.194,404,True,False,,http://localhost:8005
read,key-0038,1.048,404,True,False,,http://localhost:8003
read,key-0022,1.113,404,True,False,,http://localhost:8004
read,key-0059,1.052,404,True,False,,http://localhost:8002
read,key-0030,0.989,404,True,False,,http://localhost:8003
read,key-0016,0.949,404,True,False,,http://localhost:8003
read,key-0054,0.952,404,True,False,,http://localhost:8005
read,key-0026,1.097,404,True,False,,http://localhost:8004
read,key-0017,1.216,404,True,False,,http://localhost:8003
read,key-0062,1.158,404,True,False,,http://localhost:8004
read,key-0002,1.038,404,True,False,,http://localhost:8004
read,key-0071,1.035,404,True,False,,http://localhost:8005
read,key-0099,0.92,404,True,False,,http://localhost:8002
read,key-0089,0.949,404,True,False,,http://localhost:8003
read,key-0013,1.5,404,True,False,,http://localhost:8004
read,key-0089,4.701,404,True,False,,http://localhost:8005
read,key-0090,1.837,404,True,False,,http://localhost:8002
read,key-0033,1.584,404,True,False,,http://localhost:8002
read,key-0018,1.431,404,True,False,,http://localhost:8002
read,key-0025,1.125,404,True,False,,http://localhost:8002
read,key-0062,0.948,404,True,False,,http://localhost:8003
read,key-0039,0.941,404,True,False,,http://localhost:8004
read,key-0053,0.914,404,True,False,,http://localhost:8002
read,key-0067,0.908,404,True,False,,http://localhost:8002
read,key-0080,1.087,404,True,False,,http://localhost:8003
read,key-0057,1.005,404,True,False,,http://localhost:8002
read,key-0060,1.189,404,True,False,,http://localhost:8005
read,key-0017,0.916,404,True,False,,http://localhost:8004
read,key-0030,1.052,404,True,False,,http://localhost:8004
read,key-0086,1.029,404,True,False,,http://localhost:8002
read,key-0066,1.273,404,True,False,,http://localhost:8003
read,key-0002,0.982,404,True,False,,http://localhost:8005
read,key-0090,1.067,404,True,False,,http://localhost:8005
read,key-0069,1.099,404,True,False,,http://localhost:8004
read,key-0085,1.194,404,True,False,,http://localhost:8002
read,key-0078,1.27,404,True,False,,http://localhost:8004
read,key-0091,1.131,404,True,False,,http://localhost:8003
read,key-0076,1.165,404,True,False,,http://localhost:8003
read,key-0094,1.326,404,True,False,,http://localhost:8003
read,key-0061,1.094,404,True,False,,http://localhost:8002
read,key-0091,1.027,404,True,False,,http://localhost:8002
read,key-0019,1.11,404,True,False,,http://localhost:8004
read,key-0021,0.886,404,True,False,,http://localhost:8003
