op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0037,15.509,404,True,False,,http://localhost:8002
read,key-0095,6.535,404,True,False,,http://localhost:8005
read,key-0047,2.982,404,True,False,,http://localhost:8003
read,key-0075,1.921,404,True,False,,http://localhost:8002
read,key-0053,2.21,404,True,False,,http://localhost:8005
read,key-0079,2.303,404,True,False,,http://localhost:8002
read,key-0078,1.69,404,True,False,,http://localhost:8003
read,key-0078,2.941,404,True,False,,http://localhost:8004
read,key-0019,1.256,404,True,False,,http://localhost:8005
read,key-0091,1.649,404,True,False,,http://localhost:8002
write,key-0005,631.762,201,True,,,http://localhost:8001
read,key-0005,7.419,404,True,True,0.009,http://localhost:8005
read,key-0063,3.059,404,True,False,,http://localhost:8002
read,key-0086,3.437,404,True,False,,http://localhost:8002
read,key-0090,10.088,404,True,False,,http://localhost:8004
read,key-0010,45.85,404,True,False,,http://localhost:8005
read,key-0015,5.647,404,True,False,,http://localhost:8005
read,key-0089,32.905,404,True,False,,http://localhost:8003
read,key-0096,8.269,404,True,False,,http://localhost:8002
read,key-0015,3.403,404,True,False,,http://localhost:8004
read,key-0001,5.201,404,True,False,,http://localhost:8002
read,key-0083,4.617,404,True,False,,http://localhost:8004
read,key-0097,10.952,404,True,False,,http://localhost:8003
read,key-0015,1.758,404,True,False,,http://localhost:8004
read,key-0044,1.312,404,True,False,,http://localhost:8005
read,key-0032,1.423,404,True,False,,http://localhost:8004
read,key-0014,1.438,404,True,False,,http://localhost:8005
read,key-0099,1.357,404,True,False,,http://localhost:8003
read,key-0021,1.207,404,True,False,,http://localhost:8004
read,key-0071,1.59,404,True,False,,http://localhost:8002
read,key-0079,1.519,404,True,False,,http://localhost:8004
read,key-0096,1.195,404,True,False,,http://localhost:8005
read,key-0029,1.519,404,True,False,,http://localhost:8004
read,key-0083,1.352,404,True,False,,http://localhost:8003
write,key-0075,613.381,201,True,,,http://localhost:8001
read,key-0075,2.0,200,True,False,0.007,http://localhost:8003
read,key-0066,1.404,404,True,False,,http://localhost:8004
read,key-0054,1.358,404,True,False,,http://localhost:8002
read,key-0051,2.197,404,True,False,,http://localhost:8002
read,key-0089,2.144,404,True,False,,http://localhost:8005
read,key-0099,1.881,404,True,False,,http://localhost:8005
read,key-0021,1.75,404,True,False,,http://localhost:8005
read,key-0071,1.882,404,True,False,,http://localhost:8003
read,key-0095,2.989,404,True,False,,http://localhost:8004
read,key-0020,1.289,404,True,False,,http://localhost:8002
read,key-0013,1.137,404,True,False,,http://localhost:8002
read,key-0023,1.095,404,True,False,,http://localhost:8004
read,key-0049,1.013,404,True,False,,http://localhost:8002
read,key-0056,1.098,404,True,False,,http://localhost:8005
read,key-0061,1.109,404,True,False,,http://localhost:8005
read,key-0014,1.029,404,True,False,,http://localhost:8004
read,key-0074,1.306,404,True,False,,http://localhost:8002
read,key-0072,1.135,404,True,False,,http://localhost:8003
read,key-0077,1.067,404,True,False,,http://localhost:8002
read,key-0056,1.078,404,True,False,,http://localhost:8002
read,key-0021,1.915,404,True,False,,http://localhost:8005
read,key-0069,1.5,404,True,False,,http://localhost:8004
read,key-0092,1.169,404,True,False,,http://localhost:8004
write,key-0036,613.437,201,True,,,http://localhost:8001
read,key-0036,7.509,200,True,False,0.008,http://localhost:8003
read,key-0019,1.89,404,True,False,,http://localhost:8004
write,key-0028,640.252,201,True,,,http://localhost:8001
read,key-0028,5.177,200,True,False,0.013,http://localhost:8002
read,key-0094,3.596,404,True,False,,http://localhost:8002
read,key-0071,3.267,404,True,False,,http://localhost:8005
read,key-0038,10.765,404,True,False,,http://localhost:8004
read,key-0074,3.572,404,True,False,,http://localhost:8005
read,key-0010,4.629,404,True,False,,http://localhost:8004
read,key-0031,4.405,404,True,False,,http://localhost:8002
read,key-0009,2.689,404,True,False,,http://localhost:8003
read,key-0063,3.265,404,True,False,,http://localhost:8004
read,key-0013,3.829,404,True,False,,http://localhost:8005
read,key-0054,2.913,404,True,False,,http://localhost:8002
read,key-0084,3.715,404,True,False,,http://localhost:8004
read,key-0097,2.997,404,True,False,,http://localhost:8004
read,key-0070,5.244,404,True,False,,http://localhost:8002
read,key-0027,3.095,404,True,False,,http://localhost:8004
read,key-0059,3.015,404,True,False,,http://localhost:8004
read,key-0035,2.518,404,True,False,,http://localhost:8003
write,key-0068,645.459,201,True,,,http://localhost:8001
read,key-0068,3.546,404,True,True,0.011,http://localhost:8004
read,key-0012,2.344,404,True,False,,http://localhost:8004
read,key-0066,8.628,404,True,False,,http://localhost:8004
read,key-0092,2.685,404,True,False,,http://localhost:8004
read,key-0083,1.716,404,True,False,,http://localhost:8005
read,key-0030,1.714,404,True,False,,http://localhost:8002
read,key-0064,1.304,404,True,False,,http://localhost:8005
read,key-0005,1.42,200,True,False,,http://localhost:8005
read,key-0069,1.352,404,True,False,,http://localhost:8002
read,key-0042,1.23,404,True,False,,http://localhost:8002
read,key-0052,1.547,404,True,False,,http://localhost:8005
read,key-0097,1.85,404,True,False,,http://localhost:8003
read,key-0045,2.677,404,True,False,,http://localhost:8005
read,key-0039,1.576,404,True,False,,http://localhost:8005
read,key-0050,1.551,404,True,False,,http://localhost:8002
read,key-0019,1.329,404,True,False,,http://localhost:8002
read,key-0030,1.495,404,True,False,,http://localhost:8003
read,key-0010,1.337,404,True,False,,http://localhost:8004
read,key-0056,1.465,404,True,False,,http://localhost:8005
read,key-0093,1.475,404,True,False,,http://localhost:8003
read,key-0083,1.31,404,True,False,,http://localhost:8002
read,key-0082,1.46,404,True,False,,http://localhost:8005
read,key-0060,1.374,404,True,False,,http://localhost:8003
read,key-0027,1.618,404,True,False,,http://localhost:8004
read,key-0045,1.816,404,True,False,,http://localhost:8002
read,key-0078,3.019,404,True,False,,http://localhost:8005
read,key-0026,4.289,404,True,False,,http://localhost:8005
read,key-0019,4.555,404,True,False,,http://localhost:8003
