op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0049,7.435,404,True,False,,http://localhost:8015
read,key-0035,1.959,404,True,False,,http://localhost:8015
read,key-0058,2.04,404,True,False,,http://localhost:8013
read,key-0084,2.212,404,True,False,,http://localhost:8013
read,key-0031,2.105,404,True,False,,http://localhost:8015
read,key-0060,1.756,404,True,False,,http://localhost:8012
read,key-0089,3.119,404,True,False,,http://localhost:8014
read,key-0004,2.008,404,True,False,,http://localhost:8013
read,key-0049,1.943,404,True,False,,http://localhost:8015
read,key-0099,1.693,404,True,False,,http://localhost:8012
write,key-0031,1229.136,201,True,,,http://localhost:8011
read,key-0031,7.289,200,True,False,0.007,http://localhost:8015
read,key-0057,4.451,404,True,False,,http://localhost:8014
read,key-0032,3.632,404,True,False,,http://localhost:8012
read,key-0050,2.791,404,True,False,,http://localhost:8012
read,key-0006,3.172,404,True,False,,http://localhost:8014
read,key-0016,2.372,404,True,False,,http://localhost:8015
read,key-0000,2.245,200,True,False,,http://localhost:8015
read,key-0003,4.25,404,True,False,,http://localhost:8012
read,key-0055,2.321,404,True,False,,http://localhost:8015
read,key-0044,2.755,200,True,False,,http://localhost:8013
read,key-0093,2.747,404,True,False,,http://localhost:8015
read,key-0094,3.096,404,True,False,,http://localhost:8012
write,key-0013,1225.595,201,True,,,http://localhost:8011
read,key-0013,2.593,200,True,False,0.009,http://localhost:8013
read,key-0038,2.488,404,True,False,,http://localhost:8012
write,key-0068,1234.165,201,True,,,http://localhost:8011
write,key-0041,1257.103,201,True,,,http://localhost:8011
read,key-0068,4.305,200,True,False,1257.458,http://localhost:8015
read,key-0041,3.123,200,True,False,4.443,http://localhost:8012
read,key-0093,2.551,404,True,False,,http://localhost:8013
read,key-0032,2.121,404,True,False,,http://localhost:8014
read,key-0097,4.248,404,True,False,,http://localhost:8012
read,key-0047,4.967,404,True,False,,http://localhost:8014
read,key-0095,3.93,404,True,False,,http://localhost:8012
read,key-0010,1.894,404,True,False,,http://localhost:8015
read,key-0023,1.717,404,True,False,,http://localhost:8014
read,key-0019,1.648,404,True,False,,http://localhost:8014
read,key-0032,1.721,404,True,False,,http://localhost:8013
read,key-0066,2.273,404,True,False,,http://localhost:8012
write,key-0025,1226.756,201,True,,,http://localhost:8011
read,key-0025,5.462,200,True,False,0.01,http://localhost:8015
