op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0056,18.664,200,True,False,,http://localhost:8005
write,key-0069,4.515,201,True,,,http://localhost:8001
write,key-0011,7.113,201,True,,,http://localhost:8001
write,key-0093,3.303,201,True,,,http://localhost:8001
read,key-0069,1.64,200,True,True,10.576,http://localhost:8002
read,key-0011,2.114,200,True,True,5.115,http://localhost:8004
read,key-0093,1.428,200,True,True,3.922,http://localhost:8003
read,key-0058,1.415,200,True,False,,http://localhost:8003
read,key-0073,1.562,404,True,False,,http://localhost:8002
write,key-0020,4.633,201,True,,,http://localhost:8001
read,key-0020,2.084,404,True,True,0.004,http://localhost:8004
write,key-0003,2.204,201,True,,,http://localhost:8001
write,key-0051,3.219,201,True,,,http://localhost:8001
read,key-0003,1.344,200,True,True,3.27,http://localhost:8005
read,key-0051,1.136,200,True,True,1.381,http://localhost:8003
read,key-0017,1.141,200,True,False,,http://localhost:8004
read,key-0077,1.47,200,True,False,,http://localhost:8002
write,key-0045,1.512,201,True,,,http://localhost:8001
read,key-0045,1.546,200,True,True,0.002,http://localhost:8004
write,key-0063,1.808,201,True,,,http://localhost:8001
read,key-0063,1.34,404,True,True,0.002,http://localhost:8005
read,key-0024,0.945,404,True,False,,http://localhost:8003
read,key-0052,0.992,200,True,False,,http://localhost:8005
write,key-0075,1.675,201,True,,,http://localhost:8001
write,key-0074,1.693,201,True,,,http://localhost:8001
write,key-0085,3.024,201,True,,,http://localhost:8001
read,key-0075,1.208,200,True,True,4.81,http://localhost:8004
read,key-0074,1.126,200,True,True,4.308,http://localhost:8002
write,key-0066,1.427,201,True,,,http://localhost:8001
write,key-0073,1.241,201,True,,,http://localhost:8001
read,key-0085,1.106,200,True,True,5.155,http://localhost:8003
read,key-0066,1.211,404,True,True,2.42,http://localhost:8005
read,key-0073,1.158,404,True,True,2.377,http://localhost:8002
read,key-0011,1.081,200,True,True,,http://localhost:8005
write,key-0048,1.115,201,True,,,http://localhost:8001
read,key-0048,1.104,200,True,True,0.003,http://localhost:8002
write,key-0017,1.145,201,True,,,http://localhost:8001
read,key-0017,1.372,200,True,True,0.002,http://localhost:8003
read,key-0011,1.194,200,True,True,,http://localhost:8004
write,key-0087,1.221,201,True,,,http://localhost:8001
