op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
write,key-0076,627.13,201,True,,,http://localhost:8001
read,key-0076,3.536,200,True,False,0.012,http://localhost:8002
write,key-0019,608.588,201,True,,,http://localhost:8001
write,key-0078,613.335,201,True,,,http://localhost:8001
write,key-0059,615.456,201,True,,,http://localhost:8001
read,key-0019,2.967,200,True,False,1229.08,http://localhost:8005
write,key-0003,613.111,201,True,,,http://localhost:8001
write,key-0060,614.715,201,True,,,http://localhost:8001
write,key-0049,614.459,201,True,,,http://localhost:8001
read,key-0078,4.54,200,True,False,2461.313,http://localhost:8005
write,key-0026,607.477,201,True,,,http://localhost:8001
write,key-0075,619.352,201,True,,,http://localhost:8001
write,key-0005,617.297,201,True,,,http://localhost:8001
read,key-0059,6.024,200,True,False,3695.034,http://localhost:8004
read,key-0003,4.251,200,True,False,3084.86,http://localhost:8003
write,key-0016,627.772,201,True,,,http://localhost:8001
read,key-0060,2.959,200,True,False,3102.184,http://localhost:8002
read,key-0049,2.865,200,True,False,2490.611,http://localhost:8004
write,key-0098,623.612,201,True,,,http://localhost:8001
write,key-0080,619.294,201,True,,,http://localhost:8001
write,key-0027,615.295,201,True,,,http://localhost:8001
write,key-0023,615.382,201,True,,,http://localhost:8001
read,key-0026,7.126,200,True,False,4356.222,http://localhost:8003
write,key-0047,614.595,201,True,,,http://localhost:8001
read,key-0075,2.176,200,True,False,4358.483,http://localhost:8004
read,key-0005,1.982,200,True,False,3743.203,http://localhost:8002
read,key-0016,1.659,200,True,False,3106.913,http://localhost:8003
write,key-0077,610.877,201,True,,,http://localhost:8001
read,key-0098,4.644,200,True,False,3089.518,http://localhost:8003
write,key-0038,615.678,201,True,,,http://localhost:8001
write,key-0041,613.199,201,True,,,http://localhost:8001
read,key-0080,4.741,200,True,False,3703.786,http://localhost:8002
write,key-0023,616.936,201,True,,,http://localhost:8001
read,key-0027,4.82,200,True,False,3710.293,http://localhost:8003
read,key-0023,3.559,200,True,False,3099.646,http://localhost:8004
read,key-0047,3.636,200,True,False,2481.429,http://localhost:8003
read,key-0077,3.083,200,True,False,1868.13,http://localhost:8003
write,key-0098,610.06,201,True,,,http://localhost:8001
write,key-0042,617.972,201,True,,,http://localhost:8001
write,key-0067,612.181,201,True,,,http://localhost:8001
write,key-0040,619.538,201,True,,,http://localhost:8001
read,key-0038,3.491,200,True,False,3711.101,http://localhost:8003
read,key-0041,2.296,200,True,False,3101.285,http://localhost:8004
write,key-0068,615.37,201,True,,,http://localhost:8001
write,key-0074,615.94,201,True,,,http://localhost:8001
read,key-0023,6.519,200,True,False,3713.321,http://localhost:8005
write,key-0056,613.325,201,True,,,http://localhost:8001
read,key-0098,5.475,200,True,False,3707.917,http://localhost:8005
write,key-0026,613.193,201,True,,,http://localhost:8001
read,key-0042,5.931,200,True,False,3708.638,http://localhost:8005
read,key-0067,3.453,200,True,False,3102.231,http://localhost:8002
read,key-0040,2.734,200,True,False,2486.115,http://localhost:8005
read,key-0068,2.542,200,True,False,1867.514,http://localhost:8004
write,key-0094,610.199,201,True,,,http://localhost:8001
write,key-0030,616.248,201,True,,,http://localhost:8001
write,key-0037,617.997,201,True,,,http://localhost:8001
write,key-0051,610.424,201,True,,,http://localhost:8001
write,key-0057,616.997,201,True,,,http://localhost:8001
read,key-0074,3.04,200,True,False,4326.551,http://localhost:8004
read,key-0056,3.0,200,True,False,3709.464,http://localhost:8004
read,key-0026,1.945,200,True,False,3093.614,http://localhost:8004
write,key-0060,615.153,201,True,,,http://localhost:8001
write,key-0071,614.91,201,True,,,http://localhost:8001
read,key-0094,3.465,200,True,False,3700.583,http://localhost:8004
read,key-0030,3.356,200,True,False,3087.698,http://localhost:8004
write,key-0062,619.325,201,True,,,http://localhost:8001
read,key-0037,5.229,200,True,False,3092.428,http://localhost:8004
read,key-0051,3.418,200,True,False,2487.195,http://localhost:8005
write,key-0088,611.262,201,True,,,http://localhost:8001
read,key-0057,6.676,200,True,False,2485.107,http://localhost:8002
read,key-0060,5.731,200,True,False,1868.522,http://localhost:8005
write,key-0088,612.51,201,True,,,http://localhost:8001
write,key-0091,610.721,201,True,,,http://localhost:8001
read,key-0071,3.7,200,True,False,2482.788,http://localhost:8002
write,key-0017,612.994,201,True,,,http://localhost:8001
read,key-0062,3.509,200,True,False,2473.25,http://localhost:8002
read,key-0088,4.473,200,True,False,1856.548,http://localhost:8005
read,key-0088,4.296,200,True,False,1235.823,http://localhost:8004
read,key-0091,2.995,200,True,False,629.307,http://localhost:8002
write,key-0043,621.331,201,True,,,http://localhost:8001
write,key-0018,617.137,201,True,,,http://localhost:8001
read,key-0017,4.957,200,True,False,1254.309,http://localhost:8005
read,key-0043,5.348,200,True,False,622.362,http://localhost:8005
read,key-0018,4.26,200,True,False,10.475,http://localhost:8002
read,key-0032,4.871,200,True,False,,http://localhost:8002
read,key-0052,3.404,200,True,False,,http://localhost:8002
read,key-0054,3.165,404,True,False,,http://localhost:8002
read,key-0072,3.042,404,True,False,,http://localhost:8004
read,key-0067,3.499,200,True,False,,http://localhost:8003
read,key-0058,3.001,200,True,False,,http://localhost:8005
write,key-0088,620.931,201,True,,,http://localhost:8001
write,key-0037,618.218,201,True,,,http://localhost:8001
write,key-0047,614.887,201,True,,,http://localhost:8001
write,key-0079,612.959,201,True,,,http://localhost:8001
read,key-0088,3.161,200,True,False,1846.484,http://localhost:8002
read,key-0037,2.002,200,True,False,1231.337,http://localhost:8004
read,key-0047,2.297,200,True,False,618.411,http://localhost:8002
write,key-0029,611.807,201,True,,,http://localhost:8001
write,key-0031,613.871,201,True,,,http://localhost:8001
read,key-0079,6.641,200,True,False,1233.623,http://localhost:8003
read,key-0029,4.194,200,True,False,620.803,http://localhost:8004
read,key-0031,3.776,200,True,True,11.058,http://localhost:8005
read,key-0026,4.045,200,True,False,,http://localhost:8004
read,key-0079,5.901,200,True,False,,http://localhost:8002
write,key-0097,613.785,201,True,,,http://localhost:8001
read,key-0097,3.246,200,True,True,0.009,http://localhost:8004
read,key-0003,2.096,200,True,False,,http://localhost:8002
write,key-0073,625.367,201,True,,,http://localhost:8001
read,key-0073,4.347,200,True,False,0.011,http://localhost:8003
write,key-0074,614.809,201,True,,,http://localhost:8001
write,key-0029,616.15,201,True,,,http://localhost:8001
read,key-0074,3.297,200,True,False,616.28,http://localhost:8005
read,key-0029,1.428,200,True,True,3.344,http://localhost:8004
read,key-0041,1.28,200,True,False,,http://localhost:8004
write,key-0017,613.572,201,True,,,http://localhost:8001
write,key-0090,614.836,201,True,,,http://localhost:8001
write,key-0029,612.618,201,True,,,http://localhost:8001
write,key-0092,613.795,201,True,,,http://localhost:8001
write,key-0060,615.593,201,True,,,http://localhost:8001
read,key-0017,3.887,200,True,False,2457.546,http://localhost:8004
write,key-0079,616.573,201,True,,,http://localhost:8001
read,key-0090,3.439,200,True,False,2463.146,http://localhost:8004
read,key-0029,3.247,200,True,False,1853.824,http://localhost:8002
read,key-0092,4.441,200,True,False,1243.154,http://localhost:8005
write,key-0012,631.312,201,True,,,http://localhost:8001
read,key-0060,2.465,200,True,False,1263.308,http://localhost:8005
read,key-0079,2.778,200,True,False,645.188,http://localhost:8003
read,key-0012,1.438,200,True,False,5.44,http://localhost:8002
write,key-0061,610.445,201,True,,,http://localhost:8001
read,key-0061,8.22,200,True,False,0.023,http://localhost:8003
read,key-0002,4.678,200,True,False,,http://localhost:8003
read,key-0075,2.489,200,True,False,,http://localhost:8003
read,key-0018,3.156,200,True,False,,http://localhost:8005
write,key-0076,624.804,201,True,,,http://localhost:8001
read,key-0076,3.899,200,True,False,0.023,http://localhost:8002
read,key-0066,2.366,200,True,False,,http://localhost:8005
read,key-0014,1.606,404,True,False,,http://localhost:8003
read,key-0011,2.305,404,True,False,,http://localhost:8005
write,key-0021,614.556,201,True,,,http://localhost:8001
write,key-0044,638.412,201,True,,,http://localhost:8001
read,key-0021,4.359,200,True,False,638.528,http://localhost:8002
read,key-0044,3.413,200,True,True,4.431,http://localhost:8005
read,key-0033,5.46,200,True,False,,http://localhost:8003
read,key-0024,1.662,200,True,False,,http://localhost:8002
read,key-0033,1.588,200,True,False,,http://localhost:8004
write,key-0077,618.955,201,True,,,http://localhost:8001
write,key-0030,616.006,201,True,,,http://localhost:8001
read,key-0077,3.634,200,True,False,616.121,http://localhost:8003
read,key-0030,3.761,200,True,False,3.727,http://localhost:8003
write,key-0085,610.596,201,True,,,http://localhost:8001
write,key-0005,620.874,201,True,,,http://localhost:8001
read,key-0085,3.666,200,True,False,620.975,http://localhost:8005
write,key-0027,608.232,201,True,,,http://localhost:8001
write,key-0039,617.943,201,True,,,http://localhost:8001
read,key-0005,3.29,200,True,False,1230.15,http://localhost:8004
write,key-0027,621.729,201,True,,,http://localhost:8001
write,key-0055,619.241,201,True,,,http://localhost:8001
read,key-0027,3.565,200,True,False,1862.872,http://localhost:8004
write,key-0008,611.429,201,True,,,http://localhost:8001
read,key-0039,4.607,200,True,False,1859.964,http://localhost:8005
write,key-0016,610.901,201,True,,,http://localhost:8001
read,key-0027,5.963,200,True,False,1850.505,http://localhost:8005
read,key-0055,5.061,200,True,False,1237.084,http://localhost:8005
write,key-0004,619.955,201,True,,,http://localhost:8001
write,key-0052,634.228,201,True,,,http://localhost:8001
read,key-0008,5.118,200,True,False,1881.629,http://localhost:8004
write,key-0036,638.674,201,True,,,http://localhost:8001
read,key-0016,3.993,200,True,False,1909.912,http://localhost:8005
read,key-0004,3.715,200,True,False,1282.554,http://localhost:8005
write,key-0021,610.962,201,True,,,http://localhost:8001
read,key-0052,2.01,200,True,False,1262.955,http://localhost:8005
write,key-0028,614.105,201,True,,,http://localhost:8001
read,key-0036,4.112,200,True,False,1235.225,http://localhost:8002
read,key-0021,2.947,200,True,False,620.47,http://localhost:8003
write,key-0076,610.371,201,True,,,http://localhost:8001
write,key-0008,616.407,201,True,,,http://localhost:8001
write,key-0022,616.764,201,True,,,http://localhost:8001
read,key-0028,3.67,200,True,False,1851.073,http://localhost:8003
write,key-0074,608.499,201,True,,,http://localhost:8001
write,key-0058,621.548,201,True,,,http://localhost:8001
write,key-0003,619.056,201,True,,,http://localhost:8001
write,key-0009,616.947,201,True,,,http://localhost:8001
read,key-0076,5.522,200,True,False,3703.751,http://localhost:8002
read,key-0008,3.663,200,True,False,3092.825,http://localhost:8005
read,key-0022,11.873,200,True,False,2479.689,http://localhost:8004
write,key-0036,613.806,201,True,,,http://localhost:8001
read,key-0074,4.09,200,True,False,2493.179,http://localhost:8002
write,key-0048,613.574,201,True,,,http://localhost:8001
read,key-0058,4.231,200,True,False,2489.39,http://localhost:8003
write,key-0097,608.943,201,True,,,http://localhost:8001
write,key-0063,613.441,201,True,,,http://localhost:8001
read,key-0003,4.716,200,True,False,3097.227,http://localhost:8002
write,key-0064,609.086,201,True,,,http://localhost:8001
read,key-0009,3.372,200,True,False,3094.11,http://localhost:8003
write,key-0007,613.721,201,True,,,http://localhost:8001
read,key-0036,2.923,200,True,False,3076.223,http://localhost:8005
write,key-0041,613.473,201,True,,,http://localhost:8001
write,key-0028,625.149,201,True,,,http://localhost:8001
write,key-0082,611.472,201,True,,,http://localhost:8001
write,key-0080,614.081,201,True,,,http://localhost:8001
write,key-0016,624.622,201,True,,,http://localhost:8001
read,key-0048,2.829,200,True,False,5550.713,http://localhost:8004
read,key-0097,2.052,200,True,False,4940.175,http://localhost:8004
read,key-0063,2.057,200,True,False,4328.669,http://localhost:8005
read,key-0064,5.345,200,True,False,3716.78,http://localhost:8005
write,key-0074,612.337,201,True,,,http://localhost:8001
write,key-0015,627.038,201,True,,,http://localhost:8001
write,key-0040,649.654,201,True,,,http://localhost:8001
read,key-0007,4.305,200,True,False,4995.412,http://localhost:8003
write,key-0047,615.375,201,True,,,http://localhost:8001
write,key-0030,621.426,201,True,,,http://localhost:8001
write,key-0037,631.158,201,True,,,http://localhost:8001
write,key-0083,618.288,201,True,,,http://localhost:8001
read,key-0041,5.164,200,True,False,6871.773,http://localhost:8003
write,key-0003,617.385,201,True,,,http://localhost:8001
read,key-0028,4.254,200,True,False,6869.538,http://localhost:8005
write,key-0073,612.366,201,True,,,http://localhost:8001
write,key-0007,626.193,201,True,,,http://localhost:8001
read,key-0082,3.557,200,True,False,7501.453,http://localhost:8002
read,key-0080,6.673,200,True,False,6890.876,http://localhost:8004
write,key-0015,613.442,201,True,,,http://localhost:8001
read,key-0016,4.278,200,True,False,6886.354,http://localhost:8004
read,key-0074,5.705,200,True,False,6265.636,http://localhost:8003
read,key-0015,4.523,200,True,False,5644.232,http://localhost:8005
write,key-0068,697.731,201,True,,,http://localhost:8001
read,key-0040,20.173,200,True,False,5695.945,http://localhost:8003
read,key-0047,12.425,200,True,False,5097.038,http://localhost:8003
read,key-0030,8.086,200,True,False,4487.937,http://localhost:8005
read,key-0037,14.891,200,True,False,3864.852,http://localhost:8002
read,key-0083,4.031,200,True,False,3259.676,http://localhost:8003
write,key-0031,635.663,201,True,,,http://localhost:8001
read,key-0003,6.829,200,True,False,3276.726,http://localhost:8004
read,key-0073,5.579,200,True,False,2667.322,http://localhost:8002
write,key-0026,617.024,201,True,,,http://localhost:8001
read,key-0007,9.809,200,True,False,2664.164,http://localhost:8004
read,key-0015,6.668,200,True,False,2050.143,http://localhost:8005
read,key-0068,5.86,200,True,False,1344.272,http://localhost:8004
read,key-0031,2.375,200,True,False,653.477,http://localhost:8003
