op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0004,10.503,404,True,False,,http://localhost:8004
read,key-0021,5.126,200,True,False,,http://localhost:8002
write,key-0065,1255.142,201,True,,,http://localhost:8001
read,key-0065,4.503,200,True,False,0.01,http://localhost:8005
read,key-0015,2.426,404,True,False,,http://localhost:8004
read,key-0065,2.754,200,True,False,,http://localhost:8002
read,key-0049,2.336,404,True,False,,http://localhost:8004
read,key-0049,3.097,404,True,False,,http://localhost:8003
read,key-0008,2.18,404,True,False,,http://localhost:8003
read,key-0015,2.016,404,True,False,,http://localhost:8002
read,key-0092,2.034,404,True,False,,http://localhost:8004
read,key-0013,1.748,404,True,False,,http://localhost:8004
read,key-0026,1.95,404,True,False,,http://localhost:8004
read,key-0040,2.385,404,True,False,,http://localhost:8004
read,key-0053,1.985,404,True,False,,http://localhost:8002
read,key-0006,1.735,404,True,False,,http://localhost:8004
read,key-0040,5.009,404,True,False,,http://localhost:8005
read,key-0023,16.469,404,True,False,,http://localhost:8004
read,key-0056,1.818,404,True,False,,http://localhost:8005
read,key-0051,1.429,404,True,False,,http://localhost:8005
read,key-0050,1.473,404,True,False,,http://localhost:8005
read,key-0095,1.518,404,True,False,,http://localhost:8005
read,key-0044,1.719,404,True,False,,http://localhost:8002
read,key-0069,1.622,404,True,False,,http://localhost:8003
write,key-0044,1228.518,201,True,,,http://localhost:8001
read,key-0044,3.565,200,True,False,0.006,http://localhost:8003
read,key-0002,2.568,404,True,False,,http://localhost:8002
read,key-0038,2.022,404,True,False,,http://localhost:8005
read,key-0065,1.862,200,True,False,,http://localhost:8003
read,key-0027,1.823,404,True,False,,http://localhost:8005
read,key-0018,1.681,404,True,False,,http://localhost:8005
read,key-0044,1.886,200,True,False,,http://localhost:8003
read,key-0044,1.951,200,True,False,,http://localhost:8005
read,key-0070,1.891,404,True,False,,http://localhost:8002
read,key-0061,1.763,404,True,False,,http://localhost:8005
read,key-0020,1.792,404,True,False,,http://localhost:8005
read,key-0052,1.772,404,True,False,,http://localhost:8004
read,key-0099,1.895,404,True,False,,http://localhost:8002
read,key-0074,1.612,404,True,False,,http://localhost:8005
read,key-0001,1.676,404,True,False,,http://localhost:8002
read,key-0094,1.668,404,True,False,,http://localhost:8003
read,key-0050,1.744,404,True,False,,http://localhost:8002
read,key-0079,1.781,404,True,False,,http://localhost:8004
read,key-0044,2.122,200,True,False,,http://localhost:8004
write,key-0061,1242.5,201,True,,,http://localhost:8001
read,key-0061,11.006,200,True,False,0.008,http://localhost:8002
read,key-0059,71.523,200,True,False,,http://localhost:8002
write,key-0074,1238.396,201,True,,,http://localhost:8001
read,key-0074,4.588,200,True,False,0.078,http://localhost:8003
read,key-0081,4.257,404,True,False,,http://localhost:8002
write,key-0016,1240.431,201,True,,,http://localhost:8001
read,key-0016,4.487,200,True,False,0.013,http://localhost:8005
read,key-0042,2.81,200,True,False,,http://localhost:8002
read,key-0002,3.231,404,True,False,,http://localhost:8005
read,key-0064,3.756,404,True,False,,http://localhost:8004
read,key-0051,4.954,404,True,False,,http://localhost:8003
read,key-0011,16.286,404,True,False,,http://localhost:8002
read,key-0020,2.119,404,True,False,,http://localhost:8003
read,key-0073,1.783,200,True,False,,http://localhost:8005
read,key-0013,2.055,404,True,False,,http://localhost:8003
read,key-0057,1.963,404,True,False,,http://localhost:8003
read,key-0077,1.537,404,True,False,,http://localhost:8002
read,key-0030,1.548,404,True,False,,http://localhost:8004
read,key-0076,1.701,404,True,False,,http://localhost:8002
read,key-0008,1.623,404,True,False,,http://localhost:8004
read,key-0005,2.011,404,True,False,,http://localhost:8005
write,key-0092,1220.78,201,True,,,http://localhost:8001
read,key-0092,4.561,200,True,False,0.005,http://localhost:8005
read,key-0079,2.014,404,True,False,,http://localhost:8004
read,key-0094,1.878,404,True,False,,http://localhost:8002
read,key-0072,1.767,404,True,False,,http://localhost:8002
read,key-0095,1.726,404,True,False,,http://localhost:8003
read,key-0056,1.781,404,True,False,,http://localhost:8003
read,key-0043,1.654,404,True,False,,http://localhost:8003
read,key-0057,1.701,404,True,False,,http://localhost:8003
read,key-0062,1.902,404,True,False,,http://localhost:8005
read,key-0072,1.933,404,True,False,,http://localhost:8002
read,key-0018,2.038,404,True,False,,http://localhost:8002
read,key-0083,4.489,404,True,False,,http://localhost:8003
read,key-0054,2.403,404,True,False,,http://localhost:8003
read,key-0096,1.744,404,True,False,,http://localhost:8003
read,key-0058,1.704,404,True,False,,http://localhost:8005
read,key-0017,1.71,404,True,False,,http://localhost:8005
read,key-0097,1.76,404,True,False,,http://localhost:8005
